score,comment,serving,rbid,rbbrewer,created_at
2.7,"bottle from the brewery in Forchheim.  clear amber body with a small off-white finely-bubbled head. yeasty, doughy aroma and flavor with toasted cereals and some darker burnt bread crust malt as well, with abundant starches and apple flavors. coarse and high acid, not something you find often in German lagerbier.  very basic caramel and apple and dough character.  has frothy carbonation but the husk and starch character combined with a thin and watery finish is difficult to enjoy. ",,186113,2797,'2013-01-20 00:00:00'
2.4,"A sweet, fruity, messy Heller Bock from a brewery which has never produced a clean beer for me. Dish rag / mold spore notes combined with honey and fruit stew / fruit cocktail notes. Medium to high bitterness, sourish and twangy, especially in the finish. Spearmint toothpaste hoppiness with solvent and hot alcohols in the back. Apples, yeast / milk powder, some cooked vegetables, etc., with fatiguing sugariness. From bottle, fresh from the brewery in Forchheim.",,241731,2797,'2013-12-12 00:00:00'
4.1,"Draft at Fränkisches Bierfest in Nürnberg.
Rich, deep gold body with a fine-bubbled white head.
Toast / biscuits / baked bread richness of malt.
Quiet lemony aroma hops.
Medium-full body, crisp, rich, minerallic.
Superbly clean pale malt sweetness, one of the best pure malt characters of any beer tried at the festival. Nearly heller bock-like in character, so it’s a joy to have that sort of richness without the higher alcohol and sweetness.",,47900,2934,'2013-06-13 00:00:00'
2.7,"bottle.  hazed amber body with a small off white head and decent retention. nose is toasty and sweaty (a combination of a bit too much amber malt and a green mold hop character).  it’s also quite buttery and acidic, very much like burnt butter and corn kernels on a hot skillet.  there’s some light cigarette ash in there too to give it an air of class. flavor is scorched malt, very much like burnt popcorn, with a disappointingly light and watery body.  and it’s yeasty too!  damnit.  I WANT TO BELIEVE THAT BOTTLE ZWICKL IS POSSIBLE.",,70231,8219,'2013-01-14 00:00:00'
3.8,"Draft at Brauerei Keesmann in Bamberg.  Super hazy and cloudy orange with a proper tall off-white head.  Wonderfully fruity orange and banana cream nose, smells sugary and pleasent, like a banana cream donut... mmm donuts... rich throughout, a lot of rich yeast banana flavors developing in the back.  Very good stuff.",,15835,2284,'2008-06-05 00:00:00'
2.4,Bottle from the brewery in Forchheim. Copper colored body with a short white head. Dry pet food mix malt in the nose with lighter touches of sugar snap pea and sweet seedy crackers. Stewy fruit. Bit of metal and copper pennies. Toasted corn kernels and popcorn and butter. Corn nuts. Sourish and sweet and twangy in the finish.,,33476,2797,'2013-11-27 00:00:00'
3.6,"draft at Wilde Rose in Bamberg
mild baked corn kernel aroma with a small touch of burnt corn syrup. somewhat oily texture with a sharpness and roughness.  medium body with decent thickness and a crisp finish. remarkably filling of the mouth with accompanying carbonation froth.  the corn kernel notes are actually quite pleasant and cross over to a more typical toasted cereal character as it breathes.",,17763,2284,'2012-12-24 00:00:00'
3.5,"Draught at Brauerei Keesmann in Bamberg.  Light lemon yellow colored body with a white head.  Nose if light malthouse wort and very light and dusty yeast.  Very mild... taste is wet, cold, and then crisp, with some more of this wort flavor up front and then more drying and hoppy in the finish, crisp even, greenish hops.  Not bad.",,12312,2284,'2008-06-05 00:00:00'
3.5,"bottle at keesman in bamberg.  called dunkel.  cedar orange body, clear.  twangy vienna malt nose - cherries, sharp cedar wood, semi-sweet fruit cocktail hops smothered in a delicate vienna malt syrup flavor... toasty, bready flavors, a little bit of the bottle and cap show up.  twangy, burnt/solvent-like caramel and vienna malt.  decent finish.  not the best bottle I think but still enjoyable.",,17765,2284,'2009-10-20 00:00:00'
3.3,"bottle at keesman in bamberg.  called heller bock.  rich clear gold body with a fine off-white head.  nose of candied sweet/crystalline hop resin and pale cracker/biscuit malts with a small note of honeysuckle and sweetened greens (sugar snap peas).  full and hefty body, little bit of acidity and sharpness across the middle, a little lactic, more of this green bean/sugar snap pea character.  minimal bitterness, honey sweet malts mainly, finished a little oily, a little syrupy.  good but not great.",,43977,2284,'2009-10-20 00:00:00'
3.7,"draft at Wilde Rose Bamberg.
super turbid and cloudy orange body with a rocky white head. calcium / mineral nose with light bacterial armpit sweat notes (light enough to be suitable and well-placed in the nose, if you believe that). lots of gummy banana and orange citrus juice and acid in the nose as well. wondrously soft approach with slow-growing acid across the back: prickly, zesty and vibrant but tart juice / pulp / pith with a creamy texture and soft carbonation. though a bit sludgy and yeasty it’s very soft and nimble.",,63188,2997,'2012-12-18 00:00:00'
3.3,"Served in a mug at Wilde Rose Keller.  Flavor is husky sweet malt up front, the more of a sour mashed grain over the middle, moving towards a slightly dry finish.  Nose of corn and malt and baking flour.  Crisp and hoppy on the back for a short time, nothing tremendously bitter or drying but still noticeable.  Wet grains an vegetal corn notes round this one out.  Fresh, tasty, nice overall, but lacks depth.",,17670,2997,'2008-06-05 00:00:00'
3.1,"Mug at Wilde Rose Keller in Bamberg.  Nose of buttery grass, alcohol and old oranges.  Big full bodied flavor, but then over the middle there’s a rise of spritzy carbonation.  Flavor is buttery old honey and oranges, some sourdough as well.  Nothing special, but has some nice toasted fruit flavors at times.",,39573,2997,'2008-06-05 00:00:00'
4.2,"Vom fass at the brewery in Schammelsdorf.
First impression: uncharacteristically hoppy Franconian lagerbier.
Green, grassy, lemon pithy / citrus Spalt hops.
Lightly doughy yeast presence.
Medium body, would benefit from more roundness and fullness but I take that the hops brighten an otherwise peaked and thin body.
A surprisingly bitter and hoppy pale lagerbier.",,24405,3715,'2013-11-29 00:00:00'
2.6,"draft at Kraus in Hirschaid
lightly hazed golden amber body with a small white head. simple sweet grain / corn in the nose, similar flavor but with touches of DMS. tart and starchy flavor, low hop presence, doughy yeast, seems stale, lifeless and simple, with an oily and very thin texture.  the smoke is nearly impossible to find; I guess it comes across as some sort of cigarette ask and stale, dried pork, but I wouldn’t even guess there *was* smoked malt in here if I wasn’t told beforehand.  a simple beer in poor shape, uncared-for by the people who brought it into the world.
",,38729,5151,'2012-12-26 00:00:00'
3.7,"Mug at the brewery in Giesfeld.  Nose of sweet wort, caramel, maple and grains.  Flavor is bright and fresh, tastes like unfermented wort and honey with a little grassy hop note.  Fresh, wet, green, etc... at the same time, though, it resembles honey, wet malt and dry wood.  Good beer with a nice medium bitterness level.",,50708,6177,'2008-06-05 00:00:00'
4.2,"Draft at the brewery in Schammelsdorf. Burnt orange colored body with a fine white head. Smacking honey and hop resins with pepper acids and robust caramelized pale and Vienna malt. Quenching acidity and minerality, rich toffee accents and citrus juiciness. Tart and sweet and pithy mandarin orange. Very clean. Good from first impression carried through the glass. Very exciting and flavorful beer, easily the best Heller Bock of this trip so far.",,60019,3715,'2013-11-29 00:00:00'
2.6,"bottle best by August 26 2013.  clear gold body with a small white head, no lasting retention, only some lacing.  aroma of corn syrup and honey-coated baked biscuits with a small but annoying apple and pear ester note and a rather uninteresting and timid noble hop profile.  medium to medium-light body, carbonation is somewhat round but lacks fullness and froth; medium-low sweetness; low bitterness; medium-low acid. flabby texture with a water finish.  corn syrup pale malt flavor with distinct oiliness in the watery, somewhat sourish malt finish.  better than the horrid bockbier and Hirschen-Trunk, but still a rather basic beer with little excitement.",,38728,5151,'2013-05-19 00:00:00'
3.8,"Draft at the brewery. Chestnut brown body, clear with a fine white head. Crusty bread / toast malt in the nose with some grassy / herbal hops which show up as a strong green bitterness in the finish, out of balance bitterness even, which is strange to find in Franconia. Lingering bitterness, how did this become a staple here? Leafy green herbalness. Cookie and toast and grassy hops, a fun one for sure. Compare this hoppy dunkel to the malty experience  i had with the bottle five years prior, I’m perplexed.
Bottle at the brewery in June 2008: Dark brown color with a tan head. Nose of rich and sweet tobacco, toffee, roast and caramel. Doppelbock-like nose, sweet, lightly alcoholic and fruity. Rich and flavorful toffee and bread crust throughout, very toasty with a faint bit of roast as well. Similar to a porter or stout at times, bready, fresh, and delicious. (3.8)",,88600,3715,'2013-11-29 00:00:00'
2.3,"draft at the brewery in Hirschaid.  arrived by bicycle in the foggy night to a warm and welcoming Bavarian crowd chewing down large portions of pork and mountains of potato-based kitchen productions.  so we sat and enjoyed a rather terrible rauchbier before trying the bock, which I admit I’m not in the mood for at the time, not into the sweetness and weight, but I give a few of them a go, you know, to be fair.  a few were impressive even in my very anti-bock stupor of the fall.  this one was shit.  this one tasted like sour and tart burnt corn syrup with an oily texture and a dirty car battery / solvent / chemical flavor. oily, slick, sweet, fusel-y and generally dirty and off-smelling.  this was by far the poorest showing from a brewery visited in German during the week and a half trip. perhaps they have off years, or perhaps they have better products while fermenting in the winter.",,39398,5151,'2013-01-14 00:00:00'
3.5,"Murky yellow with a fine white head.
Creamy, yeasty body with prickly acids and strong pepper phenols.
Banana cream pastries, meringue, cream of wheat, some gum.
Medium sweetness, low bitterness, strong acidity to cut the sugar.
Some wheat flour / silt / grit / very mild detergent in the finish.
Very drinkable and soft, though the creaminess hides a thin body.",,35643,3715,'2013-11-29 00:00:00'
3.4,croc at the brewery. very mild toasted and burnt grains and cracker character with a small bit of faint char. semi-sweet toffee malt with medium hop bitterness and contributing toast astringency. moderately rough malt and rough carb with the toast and light roast character dominant.,,35447,3715,'2011-12-21 00:00:00'
3.4,"bottle, best by Dec 2012.  hazed amber body with a small off-white head.  softly fruity nose with doughy yeast, bread crumb / toasty malt and juicy orange and scorched apricot sweet notes.  creamy medium-full body with a yeasty / doughy fruit flavor and touches of toasted (almost roasted) malt.  a bit muddled by yeast and likely faded given the bottle date, but the hops are nicely zingy and spicy lending noticeable acidity.  bready toasted grains and wet paper finish.  decent enough, but seems faded.",,133529,2999,'2012-11-22 00:00:00'
4.2,"10-day old bottle from the brewer.  lagered for 8 weeks.  ridiculously luscious hallertauer perfumed stone fruit with zesty and peppery spalt spice.  soft doughiness and mineral content with frothy, full, lively carbonation, medium-low pale malt sweetness with touches of toasted cereals, superbly clean, delicious and satisfying.",,14540,1772,'2013-01-23 00:00:00'
3.9,"draft at Lieberth in Hallerndorf. incredibly deep and rich nose of spicy, pungent spalt hops with a superbly clean pilsner malt honey sweetness, it’s both brilliantly spicy and magically juicy, cracker-y and dough-y with perfectly soft carbonation and a soft, creamy mouthfeel from two-stage decoction mashing. balanced between sweet and bitter at the exact perfect spot, with soft, velvety carbonation, fruit spice edel hops, soft malt texture and a rich rustic-ness provided by the yeast.  a superb lager, legit mid-4 raised to 5.0 because it’s a personal favorite experience from November 2012, but in May 2013 the batch was grainy, simpler, less juicy and much less soft. so, at one point this was a 4.5 for me, but less than a year later this is probably a 3.6.",,59539,1772,'2013-01-22 00:00:00'
3.8,"draft in a croc at Landgasthof Rittmayer in Willersdorf. pale semi-dark gold body, best I can tell, with a frothy, rocky, foamy white head. faint spice and mineral in the nose with lightly bready malt and grassy, lemon citrus hops. round, full, frothy texture; creamy with full carbonation. mostly dry and a tad too starchy, but it remains wonderfully fresh, tangy, spicy and zesty with a pungent German hop finish. the yeast doughiness seems to blur and meld the components together.  very nice.
",,96136,1772,'2013-01-27 00:00:00'
3.9,"Draft at the brewery in Steinfeld. Clear gold with a white head, lightly effervescent. Lemon hops and sugar cookie sweet bread malt with good minerality. Light sweetness, mostly fine carbonation (a little fizzy), faint notes of sourdough bread and saccharin in the finish. Lean, light body, mostly clean. basic and under-expressive. Light sugar cookie / sweet cracker malt and lemon + black pepper hops in a long finish.
",,239310,13403,'2013-11-25 00:00:00'
3.8,"10 day old bottle from the brewer. filtered version of the kellerbier. sparkling clear gold body with a rocky white head.  spice and dried fruit scented German hops with semi-sweet pilsner malt honey / hay / cereal sugars.  crisp and smacking, frothy carbonation, enjoyable soft malt texture, very creamy and lush.  dried grasses and fruits abound, in a stunningly clean, crisp and refreshing presentation.  delicious.",,14430,1772,'2013-01-27 00:00:00'
3.8,"Draft at Lindner in Steinfeld. Hazed, semi-dark amber body with a rocky white head. Doughy baked bread, sweet and savory breakfast pastry, freshly toasted grains, mild banana ester, muted noble hop lemon / spice. Fine carbonation, soft and creamy body, medium-light body, a bit thin in the mouth but not to a degree to spoil the beauty. It’s a delicate lagerbier full of mineral and toast deliciousness. All three beers were in superb shape, making Lindner a rare &quot;new brewery&quot; (for me) without any duds.
",,239320,13403,'2013-11-25 00:00:00'
3.7,"Draft at the brewery in Steinfeld. Enticingly phenolic nose of clove and banana, highly expressive and bold. Wheat / pasta / toasted corn kernel maltiness. Tart citrus pith, sourdough, sulfur and unbaked bread / dough. High effervescence and yeast acids and phenols wash the palate. ",,239316,13403,'2013-11-25 00:00:00'
3.6,"bottle, best by date February 2012.
clear rich brick red body with a soft just-white head.  striking calcium / mineral water and toasted Munich malt nose with nut oil, toffee and baked bread fun.  touches of maraschino cherry and sweet apple show up as it breathes.  medium body with an oily and slick texture, very smooth with rich sweet almond cake / amaretto flavored malt.  overall it seems very well put-together, though much drier than what I expect (and like) in festbier malt-bombs.",,31248,3711,'2012-11-22 00:00:00'
3.8,"draft at Brauerei Martin in Unterneuses
clear burnt brick amber body with a thick off-white head. rich, rustic nose of beefy, toasty Munich malt with touches of minerals / calcium.  the toffee / cracker / nut oil / toast character is splendid! I find myself thinking this may be close to the perfect dunkel landbier: toasty, dusty and rich with shape-shifting layers of Munich malt; frothy, full, round carbonation with a drying, toasty finish suggesting coffee cake and tobacco, wrapped up with subtly juicy nectar-like German hops.  the smell is easily a 9 and might be a 10 on another day.  we have a winner here, folks.",,103225,10448,'2012-12-24 00:00:00'
2.1,"bottle labeled as &quot;Pottensteiner Schlüggla&quot;.  clear pale gold with a small white head.  cement mix / gravel / mineral heavy nose with notes of banana candy (remember Runts?) and garbage disposal.  medium-light body with a sourish grain flavor, dry taste, pasty and course texture, stale grains, urine and chalk.  horrible.",,88299,1566,'2013-05-21 00:00:00'
3.8,"Draft at Fränkisches Bierfest in Nürnberg.
Deep brown body with a soft tan-colored head.
Toasty dark malt aroma, sits a level just below &quot;burnt&quot;.
Clean fermentation; abundant minerals / calcium carbonate.
Noticeable flint / phosphorus / match stick smell.
Filling, juicy and rich mouthfeel.
Off-dry, medium-low bitterness, medium acid, solid malt texture.
No noticeable flaws.
Lighter touches of dried plum, fig and apricot.
Very solid.",,26205,3933,'2013-06-10 00:00:00'
3.8,"First rating Dec 2011 on draft:  clear amber with an off-white head. red apple skin, unripe cherry and caramel malt nose. highly hoppy and zingy with abundant hop acid, though the texture is bit rough, it’s still nicely toasty, minerallic and rustic. (3.4)


Second rating May 2013: Penning zeißler vollbier naturtrub. Very toasty and rich malt-driven aroma: bready, crusty, nutty,  etc.  pleasantly restrained pithy orange hop aroma.  clean fermentation. creamy carbonation, low bitterness, medium sweet and rich in the mouth. juicy hop finish.  layers if fresh cut red apples and some dried berries. lingering hop bitterness and succulent malt with creamy carbonation. quite easy to drink. (3.9/5.0)",,24898,3772,'2013-06-13 00:00:00'
4.1,"crock at the brewery in Eggolsheim and a train platform bottle later on.  rocky off-white frothy billowy cloud of a head. dunkelweizen appearance.  soft floral notes of wet noble hop spice, honey, butter, dried grass and dried fruit.  creamy and frothy texture.  moderately toasty, doughy and earthy.",,48656,5986,'2012-12-15 00:00:00'
2.4,"Fresh bottle at the brewery in Hetzelsdorf.
Hazy dull brown orange; short off-white head.
Orange gelatin chews and jelly bean sugar.
Grainy and raw oaty / seedy / bready malt.
Dirty vegetable / tomato aroma.
Fried breading / burnt doughnuts.
Medium body; drying and bitter; starchy and &quot;crunchy&quot; malt.
Low but rough carbonation.
Mild sour malt notes as it warms.",,105934,3772,'2013-06-06 00:00:00'
3.6,"bottle at the brewery in Forchheim.  so what we have is a very smoky brauerei hall and the keller bier only available in bottles, so thinking &quot;ok let’s tick it and get out of here&quot;.  the ratings don’t look that high anyway, and bottle keller bier tends to suffer.  instead this one was magically juicy and full of both malt and hop expression: spice and apricot nectar hop aroma and flavor, matched bitterness to the sweetish pale malt, with a soft doughy layer of which rounds out the edges.  great comfort in the malt texture and carbonation, both very soft.  toasted cereals, lemon juice, cheese rind, grassy / green wet hop character, very surprising to find a 4.0+ bottled keller bier.  great shape during my visit.",,40195,3933,'2013-01-16 00:00:00'
3.7,"draft at Brauerei Pfister in Weigelshofen
semi dark brown (dunkler bock guess) with light haziness. toasty nose has a good amount of perfumed alcohol and floral esters at play with the more typical toasted grains and sweet honey liqueur-like malt. medium-thick body with ridiculously frothy and soft carbonation.  silky smooth soft texture with lingering sweet toasted cereals and bready and doughy yeast.",,56245,5986,'2012-12-25 00:00:00'
3.5,"bottle at the brewery in Eggolsheim. faintly hazed chestnut red body with a frothy off-white head. toasted grains, caramelized apples and citrus and cola accents in the nose early. light to medium doughiness with a small touch of acidic, burnt butter. cherry wood and earthy stone fruit make momentary appearances in nose, while sweet red baked apple esters show up more flavor-wise. medium body is chewy and carbonation is creamy and soft giving it a round mouthfeel with subtle toasted Munich malt, though it finishes slightly sweet and flat with more of the baked red apple and doughy cracker dust finish.",,47799,5986,'2012-12-15 00:00:00'
2.2,"Fresh bottle at the brewery in Hetzelsdorf.
Clear amber red with small white head.
Swine-y cognac / apple brandy higher alcohols start to finish.
Solvent on the back of the tongue.
Nail polish remover and acetone.
Malt is soggy dark bread.
Raw / grainy, toasty and husky and coarse.
Thick, goopy body.
Sugary and alcoholic and green.",,24876,3772,'2013-06-06 00:00:00'
2.1,"Draft at Fränkisches Bierfest in Nürnberg.
Dull brown body, clear.
Dirty metallic apples in an estery aroma.
Soil, acidic fruit cocktail, fusel alcohol.
Sweet, dirty, solvent-like, phenolic.",,216898,3730,'2013-06-13 00:00:00'
3.7,"draft at Gasthof Neuner in Ebensfeld, 11km from the brewery.  6.7% clear gold with a creamy white head with lasting retention. sticky honey glazed pastry malt with a smattering of reduced grain syrup and sweet crystalline sugar.  very rich and hearty with warming stuff alcohols and sugar candy and spiced honey sweetness. yeast / minerals / sulfur egg shell notes grow as it warms and breathes, as do some perfumed banana esters.  interesting beer, well-made, though not my preference, even in the cold of fall in Germany.",,96333,10063,'2013-02-02 00:00:00'
3.3,"From draft at Brauerei Reblitz. Hazed bronze, lightly effervescent with a white head.
Pepper-spice-cinnamon accents on a Munich malt core. Medium-high effervescence in the mouth. Bready / toasty / nutty flavor with a syrupy, lengthy finish. Semi-sweet, slightly rough in the mouth, the high carbonation cuts the malt sugar more than it should IMO.

",,96332,10063,'2014-08-12 00:00:00'
3.2,"From draft at Brauerei Reblitz. Sparkling amber-gold with faint haze and a still white head.
Hoppy aroma of juicy orange / Cascade-like with minty / grassy accents and touch of apricot. Medium body, effervescent and carbonic. Simple amber / cara malt character. Bitter, seemingly salty, low sweetness with a quick finish. Malt seems completely stripped, the effect is strong astringency in the mouth, the hard water gives it bracing minerality. Overall it’s interesting, the nose has some depth but the mouth feel and flavor balance are off for my taste.
",,281384,10063,'2014-08-12 00:00:00'
3.1,"Draft at Rittmayer Aisch.
Hazy orange with a slowly-cascading white head with a patchy and foamy texture and long retention. The aroma is nicely juicy, a lot of mandarin orange / jelly aromas, but it’s ruined by the strong diacetyl, giving it a strange butter and peanut butter character.  Sugary browned bananas and other spoiled fruit make an appearance as well.  Seems like it would smell quite nice if not for being in such poor shape. Medium body, creamy, full carbonation, low acid, medium bitterness, mostly sweet, very much like classic kellerbier of the area.
",,24321,3702,'2013-06-13 00:00:00'
4.4,"draft at Brauerei Roppelt in Stiebarlimbach, as Roppelt Lagerbier.  hazed pale gold body with a creamy and fine white head. cheesy and musty and spicy German hop nose reminds me of Ganstallar Zwicklpils, though much less yeasty. astoundingly soft velvet texture with fine creamy carbonation. musty, grassy, cheesy, lightly spicy hops character with a full dose of fruit nectar and jelly. very hop-focused experience, which is somewhat un-Bavarian.  lemon and lime oils, perfume / potpourri, grasses / herbs all dance with energy.  snappy crisp to the back-end of an otherwise perfectly soft malt body. juicy, bitter, fresh and endlessly drinkable.
Again in November 2013, it was limp, watery, fruity, apple-y / green.  Probably 3.2 level stuff.  I’ll keep the 4.4 high water mark but say it varies like a lot of Franconian beer, more than you would think initially.",,24503,3729,'2013-02-02 00:00:00'
4.2,"bottle at Hutt’n in Nurnberg.  definite peat in nose - whiskey character is made, malt, soil, toasted sweet apple and caramel with touches of sweet wood. medium-thick body, rich and earthy and mossy with mild to medium peat smoke throughout. low hop bitterness but not required as the toast, smoke and peat imparts a mild astringency and acid.  delicious stuff.",,71610,3046,'2011-12-21 00:00:00'
3.8,"
November 2012: Draft at Brauerei Rittmayer in Hallendorf as lagerbier. Filtered gold body under a billowy and soft white head. Bright and hoppy nose, peppery and clean, sweet and thin honey and biscuit-flavored pilsner malt with moderate bitterness.  Soft carbonation, good froth.  Mild to medium German hop expression seems unmatched for the body and sweetness, and impart a minty greenness and leafiness on top of the already-sweet pale malt. (3.4/5)


May 2013: draft at Rittmayer keller Kreuzberg.
Fine shape.  Clean, malty, lightly doughy, very cracker-y.  Mild lemon hop aroma.  Oily / soapy texture.  Crisp finish.  (3.5/5)

May 2013: draft at Brauerei Rittmayer Hallerndorf.
Even better.  Clean, crisp, more expressive aroma (though probably just the state of my nose at the two times).  Smooth and crisp, well-lagered.  Still quiet.  No soapy finish. (3.8/5)


June 2013: bottle as Plop Landbier.
Kinda flabby, apple-y and butter-y.  Limp malt mouthfeel.  Low carbonation.  Slightly stale.  Not a good representation. (3.0/5)",,26854,3046,'2013-02-03 00:00:00'
3.8,"Draft at Roppelt’s Keller.
Hazed gold body with a lasting white head.
Musty, phenolic, juicy lemon and orange aroma.
Estery, floral, clove-heavy, soapy (clean) nose.
Measured banana esters, well-integrated.
Sweet bread / muffin / pastry malt.
Tropical, sharp, acidic, quenching, semi-sweet, moderately bitter.
",,86451,3729,'2013-06-08 00:00:00'
3.4,"A gold honey and toast-focused festbier that seems to sit between stronger Helles and lighter Heller bock. Mostly clean aroma and flavor, crisp and sticky and savory / rich melanoidins with a quieter mineral character and possible DMS developing in the nose as it opens. Ernest and TAR seemed to get DMS while I could be suggested it. Given that, I enjoyed it more than they did. Not a complex flavor and aroma but body and texture seem in balance and the sweetness lasts, for me at least, into a drying / bitter finish. From tap at Brauerei Roppelt.",,216803,3729,'2013-12-04 00:00:00'
3.7,"Bottle at Brauerei Rittmayer Hallerndorf.
Rich and clear gold body.  Medium-sized static head. Some effervescence.
Aroma hops are subdued when cold, so there’s a lot of rich toasted grain / bread character.
Hops open up with warmth and give the aroma a lot of juicy lemon oil character.
Medium sweet/dry, oily and rich malt texture.
Frothing, filling carbonation and alpha acids are very quenching.
Zesty citrus residual flavor.
Herbal / wildflower / dandelion character blossoms with more warmth.
Silky, oily and waxy texture throughout.
Minor hints of pine resin.
My notes say an excess of astringency and bitterness late.  Those words don’t match what I remember.
",,211767,3046,'2013-06-08 00:00:00'
3.6,"Nov 2012: bottle at Brauerei Rittmeyer in Hallerndorf.  clear rusty orange body, a color found often in vienna and marzen. toasted and burnt red malt and orange pulp hops in the nose. grainy and husky, both in smell and taste. starchy and crunchy malt is redeemed slightly by the juicy orange hops, but it’s still too sweet and husky to be a treat.  as it breathes there are more dominant burnt corn kernel and burnt nut smells and flavors.  no doubt would be a better experience on draft, fresher. (3.1/5)


May 2013: draft at Rittmayer keller Kreuzberg.
Grainy dog food aroma and flavor.  Acidic and course.  Solvent and acid and stale cracklin’ oat bran and dry pet food mix.  Really awful shape.  (2.4/5).


May 2013: draft at Brauerei Rittmayer in Hallerndorf.
Here it is in fine shape.  Juicy orange gelatin malt and equally juicy orange and lemon hops.  Clean smelling, no defects, sweet, moderately bitter, minerallic and quenching.  Wish it could be like this every day. (4.0/5).

I guess just beware of condition.  I’ve had it at the brauhaus twice, once fantastic, once not so good.  It’s a shame that the beer isn’t more consistent, but maybe it’s just not cared for, even in the brewers own house.",,26370,3046,'2013-02-03 00:00:00'
3.5,"bottle.  bit of a strange sweaty smoked peat / malt in the nose; very earthy and soil-like with some small hints of plastic underneath the more prominent roasted nut oils and singed toffee / caramel. medium-thick body, very rich and sticky though the malt is quite soft and delicate and light-textured. oily smoked Munich-like grains are dominant, and while there’s some noticeable fizziness late, it’s overall quite mild. pleasantly",,18758,3046,'2012-12-18 00:00:00'
3.1,"Draft at Fränkisches Bierfest Nürnberg.
Hazy rich orange-brown body. Cascading slow-crawling head. Patchy and foamy white head.
Diacetyl, orange jelly, peanut butter notes, some yeast.
Brown sugar, browned bananas and apples.
Unpleasant to smell and taste..
Medium-full body; rich carbonation; moderate bitterness.
Something like a classic kellerbier with problems: sweet, raw, diacetyl-laden.
Good body, fruity hop character, but sourish malt and diacetyl kill it.
Turns more towards tangy orange jelly / spoiled fruit as it warms.",,60565,3046,'2013-06-08 00:00:00'
2.9,"Draft at Eckerts in Bamberg, again at Brauerei Rittmayer.
Cloudy pale gold body with a fine white head.
Limp and lifeless yeast, wheat, mild ester aroma.
The aroma lacks vibrancy!
Creamy (soupy oatmeal), chewy (light sugar), watery (limp acid) mouthfeel.
A simple weizen without much flavor expression, so you’re left with limp, soggy wheat/yeast. ",,17947,3046,'2013-06-08 00:00:00'
1.7,"A poorly-made imitation of Franconian kellerbier which smells of sweet and sour malt, dog food, burnt nuts, oxidation (wet cardboard, stale crackers). A wash of DMS / vegetables / compost / garbage bin with a thin, lifeless body.",,199855,16047,'2013-12-04 00:00:00'
1.7,"fresh bottle from the hands of the brewer. clear dark amber body with a short and small head.  the aroma is an unpleasant bucket of perfume and fusel alcohols, and the odors of burnt pretzels, old pizza crust, and oat bran cereal entice the drinker to dive right in.  solvent and hooch alcohol pepper and warm the tongue while flavors of sour apple and sweet pear juice cough syrup soothes the throat.  holy heck, this is probably one of the dirtiest beers I’ve ever had in Germany.  which is very sad to say because arriving by bike to the tiny village and finding the restaurant closed but the brew house open and occupied by the welcoming and friendly brewer in his awesome galoshes. he pulled a bottle that may have been 5 days old, was very appreciative of our effort to try his beer, and the moment was another on a growing list of polite gestures by these great German people, but it was all a setup, man!  hey it happens to everyone.  some breweries only make stinkers in the summer but rock hard in the winter and vice versa.  some times you have less control over fermentation that you think.  ",,28934,2581,'2013-03-03 00:00:00'
4.1,"multiple fresh bottles.  bright fruit nectar hop nose (apricot, orange, gelatin). hoppy, fresh, very clean with a crisp and light body, a toasty hay and dried grass / citrus focused flavor and a light mineral dustiness. frothy, round, full carbonation in the mouth with amazing lightness and leanness to the body as well.  zingy and zesty lemon / lemongrass/ grass / citrus flavors lingering late. 4+ level lager.

",,28715,4161,'2012-12-13 00:00:00'
3.9,"from draft at Sauer Rossdorf
cloudy light gold body with with a stunningly soft and thick fine white head.
soft and creamy carbonation combines with yogurty tart yeast and fresh, zesty, grassy German hops.  it’s pungent and green with matching mild sweetness of bready pilsner malt.  ",,194821,4161,'2012-12-14 00:00:00'
3.9,"From draft at Brauerei Sauer Rottenbach.
Surprisingly toasty and characterful malt, caramelized sugars, light touches of phosphorus / match stick and granite. Spicy lemon pepper, hard mineral water carbonation. Nice buttered baguette quality... rich malt. Body is medium, fuller than you typically find in helles. Hops are juicy and lemon-y. Lively hard carbonation. Juicy malt body... Lovely, really impressive ingredient expression. A pale malt beauty.",,77939,8820,'2014-08-14 00:00:00'
3.7,"bottle, BBD March 2013
clear gold body with thick cascading carbonation and a rocky white head. mildly musty calcium / mineral note in the nose at first, showing more gravel and cement mix and sulfur as it breathes.  softly minty green spiced hop grassiness with mild bubble gum touches. frothy and rich carbonation presents the toasty cereal pilsner malt body with quaffable roundness.  light nutrisweet notes noticed late but for the most part it remains a true focus of zesty and prickly hop acids with the grains only becoming noticeably husky late.  the acid washing and full carbonation along with some light floral gumminess make this one a true winner.",,31433,4161,'2012-12-14 00:00:00'
3.4,"From draft at Brauerei Sauer Rottenbach.
Mineral and cloth nose, light grainy, lightly hoppy, some fabric notes, faint tough of saw dust. Airy, quiet nose. Light body, lightly sweet, medium bitterness, neutral grain, sweet pale malt. Sweet finish. Clean and pretty but lacks much in the way of hops, which is a surprise. Perfumy floral / dried strawberries and such.",,77218,8820,'2014-08-14 00:00:00'
